outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,semantic_drift_proxy_mean,gold_probability_delta
correct_high,accessible_rho,0.05,170,1.0,0.5823529411764706,-0.0007125874313068659,0.4176470588235294,0.3764705882352941,0.0,1.8490797782766633e-06,0.00041747905797051565
correct_high,accessible_rho,0.1,170,1.0,0.5823529411764706,-0.0014496946772248887,0.4176470588235294,0.4294117647058823,0.0,7.122966840286054e-06,0.0008177105831794762
correct_high,accessible_rho,0.2,170,0.9882352941176471,0.5882352941176471,-0.0028582476378076205,0.4176470588235294,0.4411764705882353,0.0,2.8130503711590366e-05,0.0017619326228891508
correct_high,accessible_rho,0.4,170,0.9647058823529412,0.5882352941176471,-0.005369482306603723,0.4176470588235294,0.5352941176470588,0.0,0.00011178015657506538,0.0035453299823502427
correct_high,low_rho,0.05,170,1.0,0.5823529411764706,-9.342971633308217e-05,0.3058823529411765,0.2529411764705882,0.0,7.032564393290475e-07,7.082544534187107e-07
correct_high,low_rho,0.1,170,1.0,0.5823529411764706,-0.00012395311345003712,0.2529411764705882,0.31176470588235294,0.0,2.472242944529964e-06,2.129283400187365e-05
correct_high,low_rho,0.2,170,1.0,0.5823529411764706,-0.0002459697634064062,0.3176470588235294,0.4,0.0,8.932230835952724e-06,0.00011896153752111172
correct_high,low_rho,0.4,170,0.9882352941176471,0.5882352941176471,-0.0005649358569442819,0.35294117647058826,0.4294117647058823,0.0,3.455073136950687e-05,0.00028672797159690067
correct_high,projected_gradient,0.05,170,0.888235294117647,0.6,-0.01406511983863623,0.4176470588235294,0.5823529411764706,0.0,0.0009496466013462613,0.011768173342757482
correct_high,projected_gradient,0.1,170,0.7705882352941177,0.6294117647058823,-0.0184700893119345,0.4176470588235294,0.5823529411764706,0.0,0.0037249387987337,0.023146828372943018
correct_high,projected_gradient,0.2,170,0.5882352941176471,0.6705882352941176,0.0023162435869449327,0.4176470588235294,0.5823529411764706,0.0,0.013864899904396103,0.04376849979356534
correct_high,projected_gradient,0.4,170,0.5823529411764706,0.6705882352941176,0.0547960732170748,0.4176470588235294,0.5823529411764706,0.0,0.04333880522540114,0.07257703130481497
correct_high,random_activation,0.05,170,1.0,0.5823529411764706,5.356222400876298e-05,0.2,0.1411764705882353,0.0,1.806371480759185e-06,3.9081656308725954e-05
correct_high,random_activation,0.1,170,1.0,0.5823529411764706,1.5326439264273795e-05,0.2,0.22941176470588234,0.0,7.020372330489755e-06,0.00015289040636068396
correct_high,random_activation,0.2,170,0.9882352941176471,0.5882352941176471,3.9950184037018666e-05,0.2235294117647059,0.3176470588235294,0.0,2.7059211260158516e-05,0.0003272973630279452
correct_high,random_activation,0.4,170,0.9705882352941176,0.5823529411764706,0.000378671914388895,0.21176470588235294,0.29411764705882354,0.0,0.00010831869858090086,0.0007273273765651123
correct_high,standard_delta_pca,0.05,170,1.0,0.5823529411764706,-0.0005248210118046215,0.37058823529411766,0.31176470588235294,0.0,1.125412615920513e-06,6.038338673430843e-05
correct_high,standard_delta_pca,0.1,170,1.0,0.5823529411764706,-0.0010500039091557722,0.3764705882352941,0.25882352941176473,0.0,3.393765890974815e-06,0.00010469079529562553
correct_high,standard_delta_pca,0.2,170,0.9941176470588236,0.5882352941176471,-0.002174672013870671,0.3764705882352941,0.24705882352941178,0.0,1.3471235363119807e-05,0.00029466923116960864
correct_high,standard_delta_pca,0.4,170,0.9764705882352941,0.5882352941176471,-0.0041005744825627355,0.3764705882352941,0.40588235294117647,0.0,5.1750409757415245e-05,0.0006925906859363007
correct_high,temperature_1.25,0.0,170,1.0,0.5823529411764706,-0.02981347870676665,0.4176470588235294,0.0,0.0,0.002209303558719747,-0.00902818179561704
correct_high,temperature_1.5,0.0,170,1.0,0.5823529411764706,-0.05916279451757456,0.4176470588235294,0.0,0.0,0.00786463856014625,-0.02308587552383512
correct_high,temperature_2,0.0,170,1.0,0.5823529411764706,-0.11654346862188947,0.4176470588235294,0.0,0.0,0.024516086994835706,-0.05937098187103873
correct_low,accessible_rho,0.05,72,1.0,0.4861111111111111,-0.0006006392249380266,0.4444444444444444,0.2361111111111111,0.0,3.381677027299393e-06,0.000862343239608987
correct_low,accessible_rho,0.1,72,1.0,0.4861111111111111,-0.0012580838984659337,0.4861111111111111,0.3055555555555556,0.0,1.4453079976916842e-05,0.0019520226066550572
correct_low,accessible_rho,0.2,72,0.9722222222222222,0.5,-0.0017835094794227402,0.5,0.4166666666666667,0.0,5.594044878054921e-05,0.0042263708075266915
correct_low,accessible_rho,0.4,72,0.9444444444444444,0.5138888888888888,-0.00318475232256038,0.5138888888888888,0.4583333333333333,0.0,0.0002226656231998561,0.008327415479386813
correct_low,low_rho,0.05,72,1.0,0.4861111111111111,-0.0003596932093801186,0.3194444444444444,0.20833333333333334,0.0,2.4353954381809705e-06,8.825419496460984e-05
correct_low,low_rho,0.1,72,0.9861111111111112,0.4861111111111111,-0.0004089647614145542,0.3611111111111111,0.2916666666666667,0.0,9.547227703094758e-06,0.0005531591637927269
correct_low,low_rho,0.2,72,0.9722222222222222,0.5,-0.00035320589863602203,0.4166666666666667,0.3472222222222222,0.0,3.1253931861969276e-05,0.001316062417999253
correct_low,low_rho,0.4,72,0.9722222222222222,0.5,-0.00022267507985079815,0.5,0.375,0.0,0.00012016124444817064,0.0031210388205327178
correct_low,projected_gradient,0.05,72,0.8055555555555556,0.5694444444444444,-0.0062391815060590106,0.5138888888888888,0.4861111111111111,0.0,0.0010413925367952206,0.02018876084639909
correct_low,projected_gradient,0.1,72,0.6111111111111112,0.6666666666666666,0.007833348905273319,0.5138888888888888,0.4861111111111111,0.0,0.004110160659861617,0.04040541536187281
correct_low,projected_gradient,0.2,72,0.5138888888888888,0.7222222222222222,0.05855683459713196,0.5138888888888888,0.4861111111111111,0.0,0.015317886246744402,0.07720724962187892
correct_low,projected_gradient,0.4,72,0.4861111111111111,0.75,0.14333995443637365,0.5138888888888888,0.4861111111111111,0.0,0.048073044483991176,0.13418883006160487
correct_low,random_activation,0.05,72,1.0,0.4861111111111111,0.0002457802432654921,0.1527777777777778,0.1388888888888889,0.0,2.737921317757354e-06,4.310592063144769e-05
correct_low,random_activation,0.1,72,1.0,0.4861111111111111,0.0003741175403996211,0.19444444444444445,0.18055555555555555,0.0,8.514994643610386e-06,0.0002825597242139821
correct_low,random_activation,0.2,72,0.9861111111111112,0.4861111111111111,0.001075929269620468,0.2222222222222222,0.2222222222222222,0.0,3.061166835470466e-05,0.0009579687347638921
correct_low,random_activation,0.4,72,0.9722222222222222,0.5,0.0023061487274779746,0.20833333333333334,0.2638888888888889,0.0,0.00012079895586893983,0.001895867312704358
correct_low,standard_delta_pca,0.05,72,1.0,0.4861111111111111,-0.000689104752299663,0.2916666666666667,0.1527777777777778,0.0,2.1936259083911437e-06,-0.0003613502861304907
correct_low,standard_delta_pca,0.1,72,0.9861111111111112,0.4861111111111111,-0.0012137514988441733,0.375,0.1111111111111111,0.0,4.705789648882564e-06,-0.00013846306993869906
correct_low,standard_delta_pca,0.2,72,0.9861111111111112,0.4861111111111111,-0.0017350636223144589,0.3611111111111111,0.1111111111111111,0.0,1.5310016880356244e-05,2.5784654394955808e-05
correct_low,standard_delta_pca,0.4,72,0.9722222222222222,0.5,-0.003454239148870497,0.4027777777777778,0.16666666666666666,0.0,6.238714671903877e-05,-3.78912364812356e-05
correct_low,temperature_1.25,0.0,72,1.0,0.4861111111111111,-0.03793118918640387,0.5138888888888888,0.0,0.0,0.001732917830179721,-0.017732290242921667
correct_low,temperature_1.5,0.0,72,1.0,0.4861111111111111,-0.06508092068655996,0.5138888888888888,0.0,0.0,0.005188698787945209,-0.030374758207777353
correct_low,temperature_2,0.0,72,1.0,0.4861111111111111,-0.10102868992493153,0.5138888888888888,0.0,0.0,0.012785054732292618,-0.04699881070463574
correct_mid,accessible_rho,0.05,62,1.0,0.5806451612903226,-0.0004897456950615497,0.41935483870967744,0.3709677419354839,0.0,3.148566566541759e-06,0.0007704190950755807
correct_mid,accessible_rho,0.1,62,1.0,0.5806451612903226,-0.0010057053338742294,0.41935483870967744,0.41935483870967744,0.0,1.0996591583833894e-05,0.0015115042441661286
correct_mid,accessible_rho,0.2,62,1.0,0.5806451612903226,-0.0019368508278918561,0.41935483870967744,0.45161290322580644,0.0,4.010385142053312e-05,0.0031826341672984704
correct_mid,accessible_rho,0.4,62,1.0,0.5806451612903226,-0.0038228302455690644,0.41935483870967744,0.5161290322580645,0.0,0.00015924465661520777,0.006322112787176093
correct_mid,low_rho,0.05,62,1.0,0.5806451612903226,0.00011845043022573609,0.3387096774193548,0.2903225806451613,0.0,1.2352589864649912e-06,0.0002525891931197677
correct_mid,low_rho,0.1,62,1.0,0.5806451612903226,0.00029053739155204816,0.3225806451612903,0.4032258064516129,0.0,4.714451476688134e-06,0.0005826217582095561
correct_mid,low_rho,0.2,62,1.0,0.5806451612903226,0.0005007482821016707,0.3548387096774194,0.3709677419354839,0.0,1.5449914572929e-05,0.0009554416907122665
correct_mid,low_rho,0.4,62,1.0,0.5806451612903226,0.000671183905052275,0.41935483870967744,0.4032258064516129,0.0,6.0462335863888504e-05,0.001764455383844843
correct_mid,projected_gradient,0.05,62,0.8870967741935484,0.5967741935483871,-0.01241201683361981,0.41935483870967744,0.5806451612903226,0.0,0.0009747129615853379,0.01667813681570074
correct_mid,projected_gradient,0.1,62,0.6774193548387096,0.6612903225806451,-0.009070193025643492,0.41935483870967744,0.5806451612903226,0.0,0.003825426856095848,0.0330335767759824
correct_mid,projected_gradient,0.2,62,0.5806451612903226,0.6774193548387096,0.02751932086310771,0.41935483870967744,0.5806451612903226,0.0,0.014180513848107316,0.06275229548104166
correct_mid,projected_gradient,0.4,62,0.5806451612903226,0.6935483870967742,0.09131768286411912,0.41935483870967744,0.5806451612903226,0.0,0.04423498158999709,0.10693801615179221
correct_mid,random_activation,0.05,62,1.0,0.5806451612903226,0.00026128910397493765,0.1774193548387097,0.20967741935483872,0.0,2.7099380582903966e-06,0.00011776416349240648
correct_mid,random_activation,0.1,62,1.0,0.5806451612903226,0.0005109380357418702,0.14516129032258066,0.22580645161290322,0.0,9.878270083109234e-06,0.00011554819364922864
correct_mid,random_activation,0.2,62,1.0,0.5806451612903226,0.0010058789889313413,0.11290322580645161,0.27419354838709675,0.0,3.8444690169088214e-05,0.0002737807581858487
correct_mid,random_activation,0.4,62,0.9838709677419355,0.5806451612903226,0.002145126371496664,0.11290322580645161,0.3225806451612903,0.0,0.0001531467674544311,0.0003492896922747679
correct_mid,standard_delta_pca,0.05,62,1.0,0.5806451612903226,-0.0005674104524601153,0.3548387096774194,0.2903225806451613,0.0,1.6570474625542437e-06,-1.7799055473721737e-05
correct_mid,standard_delta_pca,0.1,62,1.0,0.5806451612903226,-0.0009395720436197186,0.3709677419354839,0.3064516129032258,0.0,3.917340315984934e-06,0.00024282507824224808
correct_mid,standard_delta_pca,0.2,62,1.0,0.5806451612903226,-0.002148219107246052,0.3709677419354839,0.1774193548387097,0.0,1.4844033075601454e-05,0.00040284019541314553
correct_mid,standard_delta_pca,0.4,62,1.0,0.5806451612903226,-0.00406146894421644,0.3709677419354839,0.27419354838709675,0.0,5.718012866481578e-05,0.0008981631536272294
correct_mid,temperature_1.25,0.0,62,1.0,0.5806451612903226,-0.05249801416690869,0.41935483870967744,0.0,0.0,0.0033436669540122563,-0.03328560633275407
correct_mid,temperature_1.5,0.0,62,1.0,0.5806451612903226,-0.09646093316061688,0.41935483870967744,0.0,0.0,0.010574404290943775,-0.06348989461820576
correct_mid,temperature_2,0.0,62,1.0,0.5806451612903226,-0.16233625133748347,0.41935483870967744,0.0,0.0,0.027541375109583054,-0.11097574468616489
wrong_low,accessible_rho,0.05,126,0.9920634920634921,0.15873015873015872,-0.0013962995681318091,0.6746031746031746,0.12698412698412698,0.0,5.6580251445688745e-06,0.0006869004925028066
wrong_low,accessible_rho,0.1,126,0.9761904761904762,0.15873015873015872,-0.002902289669279856,0.7222222222222222,0.15079365079365079,0.0,1.975458962167418e-05,0.0015744564565198793
wrong_low,accessible_rho,0.2,126,0.9444444444444444,0.1746031746031746,-0.005655474825820794,0.7777777777777778,0.1349206349206349,0.0,7.680775220980651e-05,0.0031839771423242957
wrong_low,accessible_rho,0.4,126,0.8888888888888888,0.18253968253968253,-0.00996702086774287,0.8174603174603174,0.15079365079365079,0.0,0.00029768643066108125,0.006350919326012283
wrong_low,low_rho,0.05,126,0.9920634920634921,0.15873015873015872,-0.0004880976099959078,0.5952380952380952,0.12698412698412698,0.0,2.9663536724916524e-06,0.0006343500271510094
wrong_low,low_rho,0.1,126,0.9841269841269841,0.16666666666666666,-0.0008654844257370287,0.6587301587301587,0.1349206349206349,0.0,9.181079528377303e-06,0.0012262841710357908
wrong_low,low_rho,0.2,126,0.9761904761904762,0.16666666666666666,-0.0015875817425980432,0.6904761904761905,0.14285714285714285,0.0,3.222566851368924e-05,0.0023338837304560656
wrong_low,low_rho,0.4,126,0.9523809523809523,0.1746031746031746,-0.003181390609784618,0.7777777777777778,0.14285714285714285,0.0,0.0001314291067931184,0.0050244632920357635
wrong_low,projected_gradient,0.05,126,0.7619047619047619,0.1746031746031746,-0.013612397713710478,0.8412698412698413,0.15873015873015872,0.0,0.0010698257116143676,0.014185159805437081
wrong_low,projected_gradient,0.1,126,0.5873015873015873,0.23015873015873015,-0.00813056083102498,0.8412698412698413,0.15873015873015872,0.0,0.004190317501558826,0.02816004449525164
wrong_low,projected_gradient,0.2,126,0.4365079365079365,0.2857142857142857,0.027770997444381884,0.8412698412698413,0.15873015873015872,0.0,0.015565530735189787,0.05337606487879534
wrong_low,projected_gradient,0.4,126,0.3333333333333333,0.36507936507936506,0.09097613659789233,0.8412698412698413,0.15873015873015872,0.007936507936507936,0.04860005111690945,0.09155769296857172
wrong_low,random_activation,0.05,126,0.9841269841269841,0.15079365079365079,-7.171628238872296e-05,0.38095238095238093,0.06349206349206349,0.0,2.6509581596028563e-06,3.168506595457865e-06
wrong_low,random_activation,0.1,126,0.9761904761904762,0.15079365079365079,-0.00014077789287486597,0.4365079365079365,0.07142857142857142,0.0,8.781568594794946e-06,-3.9045060089892836e-05
wrong_low,random_activation,0.2,126,0.9603174603174603,0.14285714285714285,5.672690162583649e-05,0.4126984126984127,0.07142857142857142,0.0,3.1882524708147615e-05,-0.0002809772187361004
wrong_low,random_activation,0.4,126,0.9444444444444444,0.14285714285714285,0.0007205110656483549,0.4365079365079365,0.07142857142857142,0.0,0.0001253581301710768,-0.0002446069556964747
wrong_low,standard_delta_pca,0.05,126,1.0,0.15873015873015872,-0.00036395550850237823,0.4523809523809524,0.05555555555555555,0.0,2.4643043138092635e-06,2.734507958124244e-07
wrong_low,standard_delta_pca,0.1,126,0.9920634920634921,0.15873015873015872,-0.0006671339708995694,0.48412698412698413,0.07142857142857142,0.0,5.426618534105472e-06,4.0742862392167956e-05
wrong_low,standard_delta_pca,0.2,126,0.9761904761904762,0.15873015873015872,-0.001508763290885562,0.5476190476190477,0.047619047619047616,0.0,1.6734794043025528e-05,0.0003544120106848958
wrong_low,standard_delta_pca,0.4,126,0.9761904761904762,0.15873015873015872,-0.002735438305319582,0.5317460317460317,0.06349206349206349,0.0,6.635899719010617e-05,0.0006337462797406102
wrong_low,temperature_1.25,0.0,126,1.0,0.15873015873015872,-0.034703843876937146,0.8412698412698413,0.0,0.0,0.0016023500459264204,0.0031664103512162867
wrong_low,temperature_1.5,0.0,126,1.0,0.15873015873015872,-0.05949730554423205,0.8412698412698413,0.0,0.0,0.0048076347034150995,0.005371732986808014
wrong_low,temperature_2,0.0,126,1.0,0.15873015873015872,-0.09239093281569988,0.8412698412698413,0.0,0.0,0.01188492737684765,0.008390219260682563
wrong_mid,accessible_rho,0.05,2,1.0,0.5,0.0011678005881310405,0.0,0.5,0.0,1.340835755880491e-06,0.001092190155810635
wrong_mid,accessible_rho,0.1,2,1.0,0.5,0.0014649569785588623,0.0,0.5,0.0,2.49656178183206e-06,0.0013893465462384569
wrong_mid,accessible_rho,0.2,2,1.0,0.5,0.002649208336787501,0.0,0.5,0.0,1.0943892562319756e-05,0.002649208336787501
wrong_mid,accessible_rho,0.4,2,1.0,0.5,0.004998591546341746,0.0,0.5,0.0,4.123958726243962e-05,0.004998591546341746
wrong_mid,low_rho,0.05,2,1.0,0.5,-0.0007018284360056359,0.0,0.0,0.0,6.552560991084045e-07,-0.000701828436005747
wrong_mid,low_rho,0.1,2,1.0,0.5,2.780809158853259e-05,0.0,0.0,0.0,1.7713784711050694e-06,-9.058443442855335e-05
wrong_mid,low_rho,0.2,2,1.0,0.5,-0.00013714338373904678,0.0,0.0,0.0,5.47077101111729e-06,-0.00028784417849614385
wrong_mid,low_rho,0.4,2,1.0,0.5,0.00031253077731130396,0.0,0.5,0.0,1.8282673954756866e-05,0.00020462877258892176
wrong_mid,projected_gradient,0.05,2,1.0,0.5,0.022763212548859713,0.5,0.5,0.0,0.0009234412356941475,0.03584725647729137
wrong_mid,projected_gradient,0.1,2,1.0,0.5,0.044944178769409815,0.5,0.5,0.0,0.0036976092074234874,0.07142687496418598
wrong_mid,projected_gradient,0.2,2,1.0,0.5,0.08519078655718126,0.5,0.5,0.0,0.013890528434337236,0.13565501170386285
wrong_mid,projected_gradient,0.4,2,1.0,0.5,0.12993880953328163,0.5,0.5,0.0,0.04476320252547261,0.23714245056187
wrong_mid,random_activation,0.05,2,1.0,0.5,-0.00042775402815586894,0.0,0.0,0.0,8.330252758384531e-07,-0.00042775402815586894
wrong_mid,random_activation,0.1,2,1.0,0.5,-0.00036982114584560577,0.0,0.0,0.0,2.7338756806623028e-06,-0.00036982114584560577
wrong_mid,random_activation,0.2,2,1.0,0.5,-0.0012537208585899906,0.0,0.0,0.0,1.6079572088286906e-05,-0.0012537208585899906
wrong_mid,random_activation,0.4,2,1.0,0.5,-0.0037850021186709437,0.5,0.0,0.0,6.483222488370499e-05,-0.0005169728209367119
wrong_mid,standard_delta_pca,0.05,2,1.0,0.5,-0.0004453394610121064,0.0,0.0,0.0,9.446752413087222e-07,-0.0004884177980132298
wrong_mid,standard_delta_pca,0.1,2,1.0,0.5,-0.0014918647749947445,0.0,0.0,0.0,3.604845384057196e-06,-0.0015349431119958679
wrong_mid,standard_delta_pca,0.2,2,1.0,0.5,-0.002059898625798695,0.0,0.0,0.0,1.2634277539124374e-05,-0.002253087024126077
wrong_mid,standard_delta_pca,0.4,2,1.0,0.5,-0.0055003896849246114,0.0,0.0,0.0,5.454654721856417e-05,-0.005661253235304309
wrong_mid,temperature_1.25,0.0,2,1.0,0.5,-0.050203117347293325,0.5,0.0,0.0,0.0025397236785636573,-0.013446757358476114
wrong_mid,temperature_1.5,0.0,2,1.0,0.5,-0.08774800789200576,0.5,0.0,0.0,0.007893652201382446,-0.025829994054387073
wrong_mid,temperature_2,0.0,2,1.0,0.5,-0.13963338766460004,0.5,0.0,0.0,0.020292783946097036,-0.04662516749617296
